Short_Name,Lat,Long
KIPP CHICAGO - BLOOM,41.793556,-87.639967
INSTITUTO - LOZANO MASTERY HS,41.845957,-87.685903
LEARN - MIDDLE,41.887413,-87.702704
HORIZON - SOUTHWEST,41.795201,-87.683963
NOBLE - ITW SPEER HS,41.92563,-87.769808
NOBLE - ACADEMY HS,41.906879,-87.645577
FOUNDATIONS,41.694671,-87.653535
PATHWAYS - BRIGHTON PARK HS,41.808226,-87.702645
CAMELOT - EXCEL WOODLAWN HS,41.759749,-87.556487
CAMELOT - EXCEL SOUTHWEST HS,41.765929,-87.69073
KIPP CHICAGO - ASCEND PRIMARY,41.861174,-87.709287
CHICAGO VOCATIONAL HS,41.737174,-87.573268
DUNBAR HS,41.840226,-87.617637
JONES HS,41.873066,-87.627675
PROSSER HS,41.920059,-87.761048
PAYTON HS,41.901575,-87.635385
RICHARDS HS,41.802881,-87.662278
NORTH-GRAND HS,41.911674,-87.735238
SIMEON HS,41.745781,-87.63541
WESTINGHOUSE HS,41.889977,-87.707332
HANCOCK HS,41.791464,-87.72447
AMUNDSEN HS,41.975067,-87.679484
BOGAN HS,41.749376,-87.721097
FARRAGUT HS,41.84856,-87.708706
FENGER HS,41.689951,-87.637572
ROBESON HS,41.769714,-87.637153
FOREMAN HS,41.939797,-87.754167
GAGE PARK HS,41.791013,-87.688954
HARLAN HS,41.718372,-87.620623
HARPER HS,41.775124,-87.669089
HIRSCH HS,41.753748,-87.601727
HYDE PARK HS,41.782257,-87.586615
KELLY HS,41.818729,-87.694639
KELVYN PARK HS,41.927918,-87.735999
KENNEDY HS,41.789961,-87.78084
LAKE VIEW HS,41.954764,-87.668953
LANE TECH HS,41.946645,-87.691013
MANLEY HS,41.870939,-87.699896
MARSHALL HS,41.878444,-87.70805
MATHER HS,41.987589,-87.702496
MORGAN PARK HS,41.692035,-87.665658
BROOKS HS,41.692763,-87.616353
PHILLIPS HS,41.82388,-87.619796
ROOSEVELT HS,41.964828,-87.714819
SCHURZ HS,41.946365,-87.735612
SENN HS,41.989029,-87.667136
STEINMETZ HS,41.935634,-87.783515
SULLIVAN HS,42.002688,-87.669192
TAFT HS,41.982961,-87.791547
TILDEN HS,41.80751,-87.642966
VON STEUBEN HS,41.973185,-87.713386
LINCOLN PARK HS,41.918268,-87.646009
WASHINGTON HS,41.688137,-87.53757
WELLS HS,41.898995,-87.667483
HUBBARD HS,41.780526,-87.718014
NORTHSIDE LEARNING HS,41.982973,-87.722386
SOUTHSIDE HS,41.759852,-87.675947
KENWOOD HS,41.803772,-87.590421
YORK HS,41.842533,-87.695261
NORTHSIDE PREP HS,41.981315,-87.708708
SIMPSON HS,41.864365,-87.668722
KING HS,41.813675,-87.603874
CHICAGO AGRICULTURE HS,41.691221,-87.71777
CHICAGO MILITARY HS,41.830555,-87.619216
YOUNG HS,41.878603,-87.664233
CURIE HS,41.80306,-87.722042
CLEMENTE HS,41.902626,-87.686906
CARVER MILITARY HS,41.65629,-87.59062
CORLISS HS,41.70666,-87.601216
JULIAN HS,41.705859,-87.653749
JUAREZ HS,41.852667,-87.663732
VAUGHN HS,41.960364,-87.764663
HOPE HS,41.793553,-87.641244
GRAHAM HS,41.849675,-87.625315
ADDAMS,41.698739,-87.532976
AGASSIZ,41.934126,-87.656229
ARMOUR,41.833854,-87.650653
ARMSTRONG G,42.01015,-87.684442
MARINE LEADERSHIP AT AMES HS,41.916045,-87.721742
AUDUBON,41.945062,-87.681041
JEFFERSON HS,41.867832,-87.680418
AVALON PARK,41.748247,-87.591654
BARNARD,41.705131,-87.658074
BARRY,41.932511,-87.739388
BARTON,41.754194,-87.670927
BASS,41.774246,-87.653532
BATEMAN,41.95822,-87.702151
NICHOLSON,41.784942,-87.647453
EDISON,41.971506,-87.709304
CLARK ES,41.867813,-87.770418
BEAUBIEN,41.972394,-87.757565
BEIDLER,41.885321,-87.705855
BELDING,41.958938,-87.73402
BELL,41.94953,-87.686018
BENNETT,41.710435,-87.61739
BLAINE,41.950781,-87.664968
BOONE,42.003412,-87.697463
JOPLIN,41.749339,-87.669366
BRADWELL,41.754365,-87.557142
HAMPTON,41.753457,-87.708731
HALEY,41.68666,-87.633632
BRENTANO,41.930966,-87.696294
BRIDGE,41.949114,-87.798669
BRIGHT,41.699726,-87.562084
BROWN W,41.882997,-87.670682
BROWNELL,41.77162,-87.621746
BOUCHET,41.760847,-87.576075
BUDLONG,41.975754,-87.696556
BURBANK,41.917598,-87.7827
BURKE,41.79676,-87.616141
BURLEY,41.937937,-87.669853
BURNHAM,41.714402,-87.567131
CASTELLANOS,41.84545,-87.714927
BURNSIDE,41.728481,-87.607435
BURR,41.912358,-87.668661
BURROUGHS,41.828868,-87.692457
BRUNSON,41.897663,-87.765606
BYRNE,41.795031,-87.791544
CALDWELL,41.739226,-87.580729
LITTLE VILLAGE,41.843698,-87.717319
CAMERON,41.903792,-87.717927
CANTY,41.948007,-87.829296
CARNEGIE,41.783368,-87.590795
